,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Norfolk,AU,2020-01-07,20,42,-42.78,147.06,81.0,6.93
1,Lavrentiya,RU,2020-01-07,37,93,65.58,-170.99,-12.46,2.24
2,Yellowknife,CA,2020-01-07,40,73,62.45,-114.38,-29.0,3.36
3,Ribeira Grande,PT,2020-01-07,20,91,38.52,-28.7,60.75,15.57
4,Rikitea,PF,2020-01-07,11,77,-23.12,-134.97,77.67,18.86
5,Bluff,AU,2020-01-07,57,53,-23.58,149.07,81.88,10.76
6,Krapivinskiy,RU,2020-01-07,90,92,55.0,86.81,14.0,4.47
7,Nizhniy Kuranakh,RU,2020-01-07,100,94,58.84,125.49,16.09,9.42
8,Sorland,NO,2020-01-07,100,83,67.67,12.69,43.57,32.88
9,Ampanihy,MG,2020-01-07,0,78,-24.69,44.75,74.12,4.76
10,Carnarvon,ZA,2020-01-07,100,81,-30.97,22.13,66.16,12.71
11,Nantucket,US,2020-01-07,90,69,41.28,-70.1,39.2,9.17
12,Faya,SA,2020-01-07,40,87,18.39,42.45,57.2,14.99
13,Kaitangata,NZ,2020-01-07,76,60,-46.28,169.85,57.99,5.99
14,Praia da Vitoria,PT,2020-01-07,40,82,38.73,-27.07,66.2,20.42
15,Tefe,BR,2020-01-07,20,74,-3.35,-64.71,86.0,2.24
16,Bima,ID,2020-01-07,100,89,-8.45,118.73,76.28,1.5
17,Tuatapere,NZ,2020-01-07,100,50,-46.13,167.69,60.22,3.58
18,Concordia,AR,2020-01-07,0,47,-31.4,-58.02,77.0,1.01
19,Barrow,AR,2020-01-07,0,44,-38.31,-60.23,67.51,9.84
20,Hermanus,ZA,2020-01-07,0,94,-34.42,19.24,66.99,8.01
21,Upernavik,GL,2020-01-07,100,72,72.79,-56.15,-14.17,4.5
22,Alghero,IT,2020-01-07,20,100,40.56,8.32,48.2,3.36
23,Mataura,NZ,2020-01-07,95,57,-46.19,168.86,58.24,5.55
24,Khatanga,RU,2020-01-07,94,95,71.98,102.47,5.2,9.53
25,Tiksi,RU,2020-01-07,97,89,71.64,128.87,-8.39,5.39
26,Warri,NG,2020-01-07,96,78,5.52,5.75,77.04,3.58
27,Punta Arenas,CL,2020-01-07,92,58,-53.16,-70.91,55.4,10.29
28,Cape Town,ZA,2020-01-07,75,100,-33.93,18.42,68.0,5.82
29,Bandarbeyla,SO,2020-01-07,100,75,9.49,50.81,78.69,18.97
30,Ushuaia,AR,2020-01-07,75,87,-54.81,-68.31,51.8,5.82
31,Nanortalik,GL,2020-01-07,100,88,60.14,-45.24,21.47,4.32
32,Dudinka,RU,2020-01-07,75,91,69.41,86.18,3.2,20.13
33,Saint-Philippe,CA,2020-01-07,90,73,45.36,-73.48,27.0,3.36
34,Sola,TZ,2020-01-07,13,89,-3.17,33.8,64.69,1.59
35,Bathsheba,BB,2020-01-07,40,74,13.22,-59.52,78.8,16.11
36,Sandpoint,US,2020-01-07,90,100,48.28,-116.55,42.01,5.1
37,Hohhot,CN,2020-01-07,59,76,40.81,111.65,-5.8,4.47
38,Atuona,PF,2020-01-07,9,78,-9.8,-139.03,80.89,14.27
39,Vaini,IN,2020-01-07,1,87,15.34,74.49,63.64,2.59
40,Airai,TL,2020-01-07,49,57,-8.93,125.41,77.47,1.74
41,Wilkie,CA,2020-01-07,1,76,52.41,-108.71,0.0,8.05
42,Tucurui,BR,2020-01-07,90,90,-3.77,-49.67,75.58,2.8
43,Port Alfred,ZA,2020-01-07,100,98,-33.59,26.89,68.0,4.0
44,Severo-Kurilsk,RU,2020-01-07,59,90,50.68,156.12,21.56,13.15
